vrt_path,name,priority,leaf
sensitive_data_exposure.disclosure_of_secrets.pay_per_use_abuse,Pay-Per-Use Abuse,4,true
sensitive_data_exposure.disclosure_of_secrets.pii_leakage_exposure,PII Leakage/Exposure,,true
sensitive_data_exposure.disclosure_of_secrets.sensitive_information_disclosed_jwt,Sensitive Information Disclosed in JSON Web Token (JWT),5,true
sensitive_data_exposure.disclosure_of_secrets.publicly_accessible_robots,Publicly accessible Robots.txt,5,true
sensitive_data_exposure.exif_geolocation_data_not_stripped_from_uploaded_images,EXIF Geolocation Data Not Stripped From Uploaded Images,,false
sensitive_data_exposure.exif_geolocation_data_not_stripped_from_uploaded_images.automatic_user_enumeration,Automatic User Enumeration,3,true
sensitive_data_exposure.exif_geolocation_data_not_stripped_from_uploaded_images.manual_user_enumeration,Manual User Enumeration,4,true
sensitive_data_exposure.graphql_introspection_enabled,GraphQL Introspection Enabled,5,true
sensitive_data_exposure.internal_ip_disclosure,Internal IP Disclosure,5,true
sensitive_data_exposure.json_hijacking,JSON Hijacking,5,true
sensitive_data_exposure.mixed_content,Mixed Content (HTTPS Sourcing HTTP),5,true
sensitive_data_exposure.non_sensitive_token_in_url,Non-Sensitive Token in URL,5,true
sensitive_data_exposure.sensitive_data_hardcoded,Sensitive Data Hardcoded,,false
sensitive_data_exposure.sensitive_data_hardcoded.file_paths,File Paths,5,true
sensitive_data_exposure.sensitive_data_hardcoded.oauth_secret,OAuth Secret,5,true
sensitive_data_exposure.sensitive_token_in_url,Sensitive Token in URL,,false
sensitive_data_exposure.sensitive_token_in_url.in_the_background,In the Background,5,true
sensitive_data_exposure.sensitive_token_in_url.on_password_reset,On Password Reset,5,true
sensitive_data_exposure.sensitive_token_in_url.user_facing,User Facing,4,true
sensitive_data_exposure.token_leakage_via_referer,Token Leakage via Referer,,false
sensitive_data_exposure.token_leakage_via_referer.over_http,Over HTTP,4,true
sensitive_data_exposure.token_leakage_via_referer.password_reset_token,Password Reset Token,5,true
sensitive_data_exposure.token_leakage_via_referer.trusted_third_party,Trusted 3rd Party,5,true
sensitive_data_exposure.token_leakage_via_referer.untrusted_third_party,Untrusted 3rd Party,4,true
sensitive_data_exposure.via_localstorage_sessionstorage,Via localStorage/sessionStorage,,false
sensitive_data_exposure.via_localstorage_sessionstorage.non_sensitive_token,Non-Sensitive Token,5,true
sensitive_data_exposure.via_localstorage_sessionstorage.sensitive_token,Sensitive Token,4,true
sensitive_data_exposure.visible_detailed_error_page,Visible Detailed Error/Debug Page,,false
sensitive_data_exposure.visible_detailed_error_page.descriptive_stack_trace,Descriptive Stack Trace,5,true
sensitive_data_exposure.visible_detailed_error_page.detailed_server_configuration,Detailed Server Configuration,4,true
sensitive_data_exposure.visible_detailed_error_page.full_path_disclosure,Full Path Disclosure,5,true
sensitive_data_exposure.weak_password_reset_implementation,Weak Password Reset Implementation,,false
sensitive_data_exposure.weak_password_reset_implementation.password_reset_token_sent_over_http,Password Reset Token Sent Over HTTP,4,true
sensitive_data_exposure.weak_password_reset_implementation.token_leakage_via_host_header_poisoning,Token Leakage via Host Header Poisoning,2,true
sensitive_data_exposure.xssi,Cross Site Script Inclusion (XSSI),,true
server_security_misconfiguration,Server Security Misconfiguration,,false
server_security_misconfiguration.bitsquatting,Bitsquatting,5,true
server_security_misconfiguration.cache_deception,Cache Deception,,true
server_security_misconfiguration.cache_poisoning,Cache Poisoning,,true
server_security_misconfiguration.captcha,CAPTCHA,,false
server_security_misconfiguration.captcha.brute_force,Brute Force,5,true
server_security_misconfiguration.captcha.implementation_vulnerability,Implementation Vulnerability,4,true
server_security_misconfiguration.captcha.missing,Missing,5,true
server_security_misconfiguration.clickjacking,Clickjacking,,false
server_security_misconfiguration.clickjacking.form_input,Form Input,5,true
server_security_misconfiguration.clickjacking.non_sensitive_action,Non-Sensitive Action,5,true
server_security_misconfiguration.clickjacking.sensitive_action,Sensitive Click-Based Action,4,true
server_security_misconfiguration.cookie_scoped_to_parent_domain,Cookie Scoped to Parent Domain,5,true
server_security_misconfiguration.dbms_misconfiguration,Database Management System (DBMS) Misconfiguration,,false
server_security_misconfiguration.dbms_misconfiguration.excessively_privileged_user_dba,Excessively Privileged User / DBA,4,true
server_security_misconfiguration.directory_listing_enabled,Directory Listing Enabled,,false
server_security_misconfiguration.directory_listing_enabled.non_sensitive_data_exposure,Non-Sensitive Data Exposure,5,true
server_security_misconfiguration.directory_listing_enabled.sensitive_data_exposure,Sensitive Data Exposure,,true
server_security_misconfiguration.email_verification_bypass,Email Verification Bypass,5,true
server_security_misconfiguration.exposed_portal,Exposed Portal,,false
server_security_misconfiguration.exposed_portal.admin_portal,Admin Portal,1,true
server_security_misconfiguration.exposed_portal.non_admin_portal,Non-Admin Portal,3,true
server_security_misconfiguration.exposed_portal.protected,Protected,5,true
server_security_misconfiguration.fingerprinting_banner_disclosure,Fingerprinting/Banner Disclosure,5,false
server_security_misconfiguration.fingerprinting_banner_disclosure.software_version_in_response_headers,Software Versions Disclosed in Response Headers,5,true
server_security_misconfiguration.insecure_ssl,Insecure SSL,,false
server_security_misconfiguration.insecure_ssl.certificate_error,Certificate Error,5,true
server_security_misconfiguration.insecure_ssl.insecure_cipher_suite,Insecure Cipher Suite,5,true
server_security_misconfiguration.insecure_ssl.lack_of_forward_secrecy,Lack of Forward Secrecy,5,true
server_security_misconfiguration.lack_of_password_confirmation,Lack of Password Confirmation,,false
server_security_misconfiguration.lack_of_password_confirmation.change_email_address,Change Email Address,5,true
server_security_misconfiguration.lack_of_password_confirmation.change_password,Change Password,5,true
server_security_misconfiguration.lack_of_password_confirmation.delete_account,Delete Account,4,true
server_security_misconfiguration.lack_of_password_confirmation.manage_two_fa,Manage 2FA,5,true
server_security_misconfiguration.lack_of_security_headers,Lack of Security Headers,,false
server_security_misconfiguration.lack_of_security_headers.cache_control_for_a_non_sensitive_page,Cache-Control for a Non-Sensitive Page,5,true
server_security_misconfiguration.lack_of_security_headers.cache_control_for_a_sensitive_page,Cache-Control for a Sensitive Page,4,true
server_security_misconfiguration.lack_of_security_headers.content_security_policy,Content-Security-Policy,5,true
server_security_misconfiguration.lack_of_security_headers.content_security_policy_report_only,Content-Security-Policy-Report-Only,5,true
server_security_misconfiguration.lack_of_security_headers.public_key_pins,Public-Key-Pins,5,true
server_security_misconfiguration.lack_of_security_headers.strict_transport_security,Strict-Transport-Security,5,true
server_security_misconfiguration.lack_of_security_headers.x_content_security_policy,X-Content-Security-Policy,5,true
server_security_misconfiguration.lack_of_security_headers.x_content_type_options,X-Content-Type-Options,5,true
server_security_misconfiguration.lack_of_security_headers.x_frame_options,X-Frame-Options,5,true
server_security_misconfiguration.lack_of_security_headers.x_webkit_csp,X-Webkit-CSP,5,true
server_security_misconfiguration.lack_of_security_headers.x_xss_protection,X-XSS-Protection,5,true
server_security_misconfiguration.mail_server_misconfiguration,Mail Server Misconfiguration,,false
server_security_misconfiguration.mail_server_misconfiguration.email_spoofing_on_non_email_domain,Email Spoofing on Non-Email Domain,5,true
server_security_misconfiguration.mail_server_misconfiguration.email_spoofing_to_inbox_due_to_missing_or_misconfigured_dmarc_on_email_domain,Email Spoofing to Inbox due to Missing or Misconfigured DMARC on Email Domain,4,true
server_security_misconfiguration.mail_server_misconfiguration.email_spoofing_to_spam_folder,Email Spoofing to Spam Folder,5,true
server_security_misconfiguration.mail_server_misconfiguration.missing_or_misconfigured_spf_and_or_dkim,Missing or Misconfigured SPF and/or DKIM,5,true
server_security_misconfiguration.mail_server_misconfiguration.no_spoofing_protection_on_email_domain,No Spoofing Protection on Email Domain,3,true
server_security_misconfiguration.misconfigured_dns,Misconfigured DNS,,false
server_security_misconfiguration.misconfigured_dns.missing_caa_record,Missing Certification Authority Authorization (CAA) Record,5,true
server_security_misconfiguration.misconfigured_dns.subdomain_takeover,Subdomain Takeover,3,true
server_security_misconfiguration.misconfigured_dns.zone_transfer,Zone Transfer,4,true
server_security_misconfiguration.missing_dnssec,Missing DNSSEC,5,true
server_security_misconfiguration.missing_secure_or_httponly_cookie_flag,Missing Secure or HTTPOnly Cookie Flag,,false
server_security_misconfiguration.missing_secure_or_httponly_cookie_flag.non_session_cookie,Non-Session Cookie,5,true
server_security_misconfiguration.missing_secure_or_httponly_cookie_flag.session_token,Session Token,4,true
server_security_misconfiguration.missing_subresource_integrity,Missing Subresource Integrity,5,true
server_security_misconfiguration.no_rate_limiting_on_form,No Rate Limiting on Form,,false
server_security_misconfiguration.no_rate_limiting_on_form.change_password,Change Password,5,true
server_security_misconfiguration.no_rate_limiting_on_form.email_triggering,Email-Triggering,4,true
server_security_misconfiguration.no_rate_limiting_on_form.login,Login,4,true
server_security_misconfiguration.no_rate_limiting_on_form.registration,Registration,4,true
server_security_misconfiguration.no_rate_limiting_on_form.sms_triggering,SMS-Triggering,4,true
server_security_misconfiguration.oauth_misconfiguration,OAuth Misconfiguration,,false
server_security_misconfiguration.oauth_misconfiguration.account_squatting,Account Squatting,4,true
server_security_misconfiguration.oauth_misconfiguration.account_takeover,Account Takeover,2,true
server_security_misconfiguration.oauth_misconfiguration.insecure_redirect_uri,Insecure Redirect URI,,true
server_security_misconfiguration.oauth_misconfiguration.missing_state_parameter,Missing/Broken State Parameter,,true
server_security_misconfiguration.path_traversal,Path Traversal,,true
server_security_misconfiguration.potentially_unsafe_http_method_enabled,Potentially Unsafe HTTP Method Enabled,,false
server_security_misconfiguration.potentially_unsafe_http_method_enabled.options,OPTIONS,5,true
server_security_misconfiguration.potentially_unsafe_http_method_enabled.trace,TRACE,5,true
server_security_misconfiguration.race_condition,Race Condition,,true
server_security_misconfiguration.request_smuggling,HTTP Request Smuggling,,true
server_security_misconfiguration.rfd,Reflected File Download (RFD),5,true
server_security_misconfiguration.same_site_scripting,Same-Site Scripting,5,true
server_security_misconfiguration.server_side_request_forgery_ssrf,Server-Side Request Forgery (SSRF),,false
server_security_misconfiguration.server_side_request_forgery_ssrf.external_dns_query_only,External - DNS Query Only,5,true
server_security_misconfiguration.server_side_request_forgery_ssrf.external_low_impact,External - Low impact,5,true
server_security_misconfiguration.server_side_request_forgery_ssrf.internal_secrets_exposure,Internal Secrets Exposure,2,true
server_security_misconfiguration.server_side_request_forgery_ssrf.internal_data_exposure,Internal Data Exposure,3,true
server_security_misconfiguration.server_side_request_forgery_ssrf.internal_port_service_scan,Internal Port Service Scan,3,true
server_security_misconfiguration.server_side_request_forgery_ssrf.internal_exposure_presence_data_secrets,Internal Exposure of the Presence of Data/Secrets,4,true
server_security_misconfiguration.server_side_request_forgery_ssrf.internal_port_scan_only,Internal Port Scan Only,4,true
server_security_misconfiguration.software_package_takeover,Software Package Takeover,,true
server_security_misconfiguration.ssl_attack_breach_poodle_etc,"SSL Attack (BREACH, POODLE etc.)",,true
server_security_misconfiguration.unsafe_cross_origin_resource_sharing,Unsafe Cross-Origin Resource Sharing,,true
server_security_misconfiguration.unsafe_file_upload,Unsafe File Upload,,false
server_security_misconfiguration.unsafe_file_upload.file_extension_filter_bypass,File Extension Filter Bypass,5,true
server_security_misconfiguration.unsafe_file_upload.no_antivirus,No Antivirus,5,true
server_security_misconfiguration.unsafe_file_upload.no_size_limit,No Size Limit,5,true
server_security_misconfiguration.username_enumeration,Username/Email Enumeration,,false
server_security_misconfiguration.username_enumeration.brute_force,Brute Force,5,true
server_security_misconfiguration.using_default_credentials,Using Default Credentials,1,true
server_security_misconfiguration.waf_bypass,Web Application Firewall (WAF) Bypass,,false
server_security_misconfiguration.waf_bypass.direct_server_access,Direct Server Access,4,true
server_security_misconfiguration.misconfigured_file_share,Misconfigured File Share,,false
server_security_misconfiguration.misconfigured_file_share.anonymous_ftp_enabled,Anonymous FTP Enabled,,true
server_security_misconfiguration.misconfigured_file_share.anonymous_smb_enabled,Anonymous SMB Enabled,,true
server_security_misconfiguration.misconfigured_file_share.non_sensitive_data_exposure_ftp_smb,Non-Sensitive Data Exposure via Anonymous FTP/SMB Enabled,5,true
server_security_misconfiguration.misconfigured_security_headers,Misconfigured Security Headers ,,false
server_security_misconfiguration.misconfigured_security_headers.insecure_csp,Insecure Content-Security-Policy,5,true
server_side_injection,Server-Side Injection,,false
server_side_injection.content_spoofing,Content Spoofing,,false
server_side_injection.content_spoofing.email_html_injection,Email HTML Injection,4,true
server_side_injection.content_spoofing.email_hyperlink_injection_based_on_email_provider,Email Hyperlink Injection Based on Email Provider,5,true
server_side_injection.content_spoofing.external_authentication_injection,External Authentication Injection,4,true
server_side_injection.content_spoofing.flash_based_external_authentication_injection,Flash Based External Authentication Injection,5,true
server_side_injection.content_spoofing.homograph_idn_based,Homograph/IDN-Based,5,true
server_side_injection.content_spoofing.html_content_injection,HTML Content Injection,5,true
server_side_injection.content_spoofing.iframe_injection,iframe Injection,3,true
server_side_injection.content_spoofing.impersonation_via_broken_link_hijacking,Impersonation via Broken Link Hijacking,4,true
server_side_injection.content_spoofing.rtlo,Right-to-Left Override (RTLO),5,true
server_side_injection.content_spoofing.text_injection,Text Injection,5,true
server_side_injection.content_spoofing.self_email_html_injection,Self Email HTML Injection,5,true
server_side_injection.exposed_data,Exposed Data,,false
server_side_injection.exposed_data.non_sensitive_data,Non Sensitive Data,5,true
server_side_injection.exposed_data.sensitive_data,Sensitive Data,,true
server_side_injection.file_inclusion,File Inclusion,,false
server_side_injection.file_inclusion.local,Local,1,true
server_side_injection.http_response_manipulation,HTTP Response Manipulation,,false
server_side_injection.http_response_manipulation.response_splitting_crlf,Response Splitting (CRLF),3,true
server_side_injection.ldap_injection,LDAP Injection,,true
server_side_injection.parameter_pollution,Parameter Pollution,,false
server_side_injection.parameter_pollution.social_media_sharing_buttons,Social Media Sharing Buttons,5,true
server_side_injection.remote_code_execution_rce,Remote Code Execution (RCE),1,true
server_side_injection.sql_injection,SQL Injection,1,true
server_side_injection.ssti,Server-Side Template Injection (SSTI),,false
server_side_injection.ssti.basic,Basic,4,true
server_side_injection.ssti.custom,Custom,,true
server_side_injection.xml_external_entity_injection_xxe,XML External Entity Injection (XXE),1,true
smart_contract_misconfiguration,Smart Contract Misconfiguration,,false
smart_contract_misconfiguration.bypass_of_function_modifiers_and_checks,Bypass of Function Modifiers and Checks,,true
smart_contract_misconfiguration.function_level_denial_of_service,Function-level Denial of Service,3,true
smart_contract_misconfiguration.improper_decimals_implementation,Improper Decimals Implementation,4,true
smart_contract_misconfiguration.improper_fee_implementation,Improper Fee Implementation,3,true
smart_contract_misconfiguration.improper_use_of_modifier,Improper Use of Modifier,4,true
smart_contract_misconfiguration.inaccurate_rounding_calculation,Inaccurate Rounding Calculation,,true
smart_contract_misconfiguration.integer_overflow_underflow,Integer Overflow / Underflow,2,true
smart_contract_misconfiguration.irreversible_function_call,Irreversible Function Call,3,true
smart_contract_misconfiguration.malicious_superuser_risk,Malicious Superuser Risk,3,true
smart_contract_misconfiguration.reentrancy_attack,Reentrancy Attack,1,true
smart_contract_misconfiguration.smart_contract_owner_takeover,Smart Contract Owner Takeover,1,true
smart_contract_misconfiguration.unauthorized_smart_contract_approval,Unauthorized Smart Contract Approval,2,true
smart_contract_misconfiguration.unauthorized_transfer_of_funds,Unauthorized Transfer of Funds,1,true
smart_contract_misconfiguration.uninitialized_variables,Uninitialized Variables,1,true
societal_biases,Societal Biases,,false
societal_biases.confirmation_bias,Confirmation Bias,,true
societal_biases.systemic_bias,Systemic Bias,,true
unvalidated_redirects_and_forwards,Unvalidated Redirects and Forwards,,false
unvalidated_redirects_and_forwards.lack_of_security_speed_bump_page,Lack of Security Speed Bump Page,5,true
unvalidated_redirects_and_forwards.open_redirect,Open Redirect,,false
unvalidated_redirects_and_forwards.open_redirect.flash_based,Flash-Based,5,true
unvalidated_redirects_and_forwards.open_redirect.get_based,GET-Based,4,true
unvalidated_redirects_and_forwards.open_redirect.header_based,Header-Based,5,true
unvalidated_redirects_and_forwards.open_redirect.post_based,POST-Based,5,true
unvalidated_redirects_and_forwards.tabnabbing,Tabnabbing,5,true
using_components_with_known_vulnerabilities,Using Components with Known Vulnerabilities,,false
using_components_with_known_vulnerabilities.captcha_bypass,Captcha Bypass,,false
using_components_with_known_vulnerabilities.captcha_bypass.ocr_optical_character_recognition,OCR (Optical Character Recognition),5,true
using_components_with_known_vulnerabilities.outdated_software_version,Outdated Software Version,5,true
using_components_with_known_vulnerabilities.rosetta_flash,Rosetta Flash,5,true
using_components_with_known_vulnerabilities.unpatched_javascript_libraries,Unpatched Javascript Libraries,5,true
zero_knowledge_security_misconfiguration,Zero Knowledge Security Misconfiguration,,false
zero_knowledge_security_misconfiguration.deanonymization_of_data,Deanonymization of Data,1,true
zero_knowledge_security_misconfiguration.improper_proof_validation_and_finalization_logic,Improper Proof Validation and Finalization Logic,1,true
zero_knowledge_security_misconfiguration.misconfigured_trusted_setup,Misconfigured Trusted Setup,,true
zero_knowledge_security_misconfiguration.mismatching_bit_lengths,Mismatching Bit Lengths,,true
zero_knowledge_security_misconfiguration.missing_constraint,Missing Constraint,,true
zero_knowledge_security_misconfiguration.missing_range_check,Missing Range Check,,true
active_directory,Active Directory (AD),,false
active_directory.sscm_abuse,SCCM Abuse,,false
active_directory.sscm_abuse.pxe_boot_media_theft,PXE Boot Media Theft,,true
active_directory.sscm_abuse.distribution_point_anonymous_access,Distribution Point Permits Anonymous Access,,true
active_directory.sscm_abuse.automatic_device_approval,Automatic Device Approval Enabled,,true
active_directory.sscm_abuse.ntlm_management_point_site_database,NTLM Relay From Management Point to Site Database,,true
active_directory.sscm_abuse.ntlm_site_server_site_systems,NTLM Relay From Site Server To Site Systems,,true
active_directory.sscm_abuse.ntlm_automatic_push_installation,NTLM Relay Via Automatic Client Push Installation,,true
active_directory.sscm_abuse.privileged_credentials_exposed,"Privileged Credentials Exposed In Task Sequences, Collection Variables or Network Access Account",,true
active_directory.kerberos_abuse,Kerberos Abuse,,false
active_directory.kerberos_abuse.domain_compromise_unconstrained_delegated,Domain Compromise via Unconstrained Delegated,1,true
active_directory.kerberos_abuse.insecure_service_account_management,Insecure Service Account Management (Kerberoasting),2,true
active_directory.kerberos_abuse.no_pre_authentication,User Does Not Require Pre-authentication (ASREPRoasting),2,true
active_directory.misconfigured_active_directory_certificate_services,Misconfigured Active Directory Certificate Services (ADCS),,true
active_directory.configuration_weaknesses,Configuration Weaknesses,,false
active_directory.configuration_weaknesses.passwords_found_domain_description,Passwords Found within Domain User Account Description,,true
active_directory.configuration_weaknesses.weak_domain_password_policy,Weak Domain Password Policy,2,true
active_directory.configuration_weaknesses.shared_administrator_passwords,Shared Administrator Passwords,2,true
active_directory.configuration_weaknesses.excessive_domain_admin_membership,Excessive Domain Admin Membership,3,true
active_directory.configuration_weaknesses.dormant_enabled_user_accounts,Dormant / Inactive User Accounts Enabled in the Domain,3,true
active_directory.sensitive_data_exposure,Sensitive Data Exposure,,false
active_directory.sensitive_data_exposure.ldap_anonymous_bind_enabled,LDAP Anonymous Bind Enabled,,true
active_directory.sensitive_data_exposure.sensitive_data_in_open_file_shares,Sensitive Data in Open File Shares,,true
active_directory.dacl_abuse,DACL Abuse,,true
